formula,spacegroup
BaYMn2O6,12
NbFeO4,2
Li4Mn5SbO12,11
Yb(AlC)3,191
Rb4I2O,137
Sb2(SO4)3,146
Li9Mn2Co5O16,7
NaMgSn3P3(SO8)3,0
YInCu4,210
SiO2,137
MgSn3,215
Mg2SeS,113
Bi2W2O9,32
Er2P7Rh12,145
LaNb3O9,11
Ba3(YI6)2,13
NaCr2FeO8,11
Cs4Cu3F10,11
Ba2HgS3,61
Zr2O,147
Na2V(PO4)2,13
In2(SO4)3,146
Re(AgCl3)2,146
LiNbSn3(PO4)6,144
Li5FeO4F,3
TbGe5,70
Ta3Cr5N4,97
K(BH)5,13
Ga2Sb2H16C4S7N2,13
LiVP2O7,13
KUH3SO8,13
Rb2ReF6,162
Zr6Sb2Pt,186
Tm2Pd2Pb,125
CsTaSe3,61
Gd3VGeO9,13
BaP2(HO)4,67
Li6Mn3P8O29,0
Mg16Al12Cl,0
La3SiPd5,73
Te2Mo2SeS,154
Tb3Nd,191
SmH10S3N3O11,1
YGa2Pd,62
LiFeB2O5,13
Sm2Fe17H3,164
Hf2N2O,0
Cd4Te3Se,158
Na4Sr(SiO3)3,0
Ba7GeB3BrO13,54
ScTaP2SO12,8
TbTaRu2,219
Nd(ScSi)4,18
TbCu5,210
SbOF,32
Sr2Cu(ClO)2,137
Ho(Al2Cu)4,137
CuPH4O5F,13
Tl3VSe4,211
NaPrPCO7,3
Na3Ni2P2(CO7)2,0
Rb2NaScBr6,219
Na3AlH6,13
YAgSe2,7
SiO2,73
CsEuTa6Cl18,161
BaWO4,14
YbTi2O5F,17
K(CoAs)2,137
Er4Cu5P7,119
ErFe2SiC,62
Li32Ti3Cr13O48,0
ZnSb2(XeF4)6,146
Li9Mn2Co5O16,0
Ca4TiMn3O10,0
Sm2ZnGa,219
Na4Mg2Ga2SiS5O24,0
Tb2YbS4,120
Li7Mn10O24,4
Ti2AlN,191
CsHoS2,191
LiV3OF11,1
Ga3Bi5Cl12,159
Mn3P6WO24,144
Nd(Sn2Rh)2,61
Ca2Y3Si3O13,173
YbCd,215
YCdHg2,219
Ti17(NO4)6,1
Sr3PrMn4O12,223
YCo5Si3,173
Er3Ni19B10,11
Na4Hf2Sc2Si3(SO8)3,0
Na2Tm2B2TeO10,13
Ba2RuN2,137
YMgAu2,219
YSi2Ag3O7,173
Fe9BP2,0
Th3Hg,137
Na3Nb3AlSi3(PO8)3,0
LiMn2(PO4)2,0
CePt3,215
Eu2ZnAg,219
AcY3,137
Dy3InC,215
Dy5Ni2Bi,138
Dy4FeSn8,24
VCrO3,0
BaCo2(PO4)2,1
LiVCr(P2O7)2,0
HoMg2Cu9,191
CeZrO4,164
Li4Nb2V3Ni3O16,0
Na6HfMg3Si2(SO6)4,0
KYbO2,164
CeU2O6,162
KLaHfTiO6,210
Ho3Fe29,11
ThGa4Co,62
K3Zn2Cl7,1
Li4Nd3Ge4,70
Nd5Ni19,164
DyNiP,191
Na2TiPCO7,10
LaYMg6,164
V4Cu13(O13F2)2,1
Ga2HgTe4,0
GdPt,61
Rb3NaNb2O3F10,4
Na5Mn2P2(CO7)2,0
Tl(CuS)2,137
Pm2CoRu,219
Cs2TlAgI6,219
KSnPO5,32
NbSn6OF15,8
NaLi2FePCO7,0
Li9Mn2Co5O16,0
Ho2Ge5Rh3,14
BaNa4Ti2(Si2O5)6,11
Na7Fe7P6(O8F)3,170
NdNiSnH,61
U(GePt)2,127
Na2LiGaF6,219
MgAl2O4,158
Ho2AgAu,219
UH6C2SeN3O7,1
Rb2Mg2(SO4)3,195
Sr4Ca4FeCo7O20,0
BaP8,1
CsPbF3,215
KSbF6,130
HoNiC2,37
NaMoP2O7,13
BaFe2(PO4)2,1
Li4Mn3Co2Sn3O16,7
Ti9Co2(B4Ru9)2,125
V2Ni(PO5)2,13
LiMgPb2,219
Cs2Th(PS3)3,1
CaMg5,7
CoP4H16(NO8)2,1
Zr9V4S,191
CuPO4,42
BaH5BrO3,127
Mg2Al3MoS8,164
Na4YScSi(PO6)2,0
YbZnCuSi2,117
Sr2MgRu3O10,0
Na3VF6,13
Cd3Pd,137
SrZnNi(PO4)2,1
BaCaTiF7,13
Ba4Gd(CuO3)3,217
CaCu3(NiO3)4,201
Na3TaZnSi(PO6)2,8
SrLa3(Cu2O5)2,5
Na9MgTa5(SiO4)9,0
Li3Mn4(BO3)4,0
K2Li(H2N)3,83
SbCNCl4O,173
Cs2BiAuI6,219
Ho2MgSe4,221
SnGe4Te4Se,158
NdMnSi2,62
RbSe,186
Li2Fe(BO3)2,13
NpTe2,127
DyMgHg2,219
Tb(SiRh)2,137
K9Nd(PS4)4,14
V2(OF)3,0
LiV2(PO4)3,13
ZnNi3,215
AlH4(SeO4)2,13
MgGa,37
YTm3(SnPd2)4,164
CdCu2,191
Mg3Cu2(PO4)3,14
Li19Mn4P8O35F,0
Sr14La6Mg3Ti17O60,7
Lu2TeO6,14
Li4Ti9O20,0
Sm6Ge3S14,141
CsCu(BiS2)2,35
Rb2AgMoBr6,219
LaNb3Si3(SO8)3,0
Ga2Cu3(SeO3)6,13
Ba3Au2,146
Zn10Si(B4Rh9)2,125
Na3AlSiSn(PO6)2,8
TiSO5,14
LiMg14Sn,37
TbSnPt2,191
Nd4(GeS4)3,159
Mg3Al,137
Tl2TeH6SeO10,13
ErPd3,215
Na6Zn7Sn(SO4)12,0
BaZn2(PO4)2,13
CsAlH4(OF2)2,14
ScTl3F6,219
SbP2O7,32
Li9Mn2Co5O16,1
SCl,42
BaGaGe,184
NaSc(GeO3)2,14
KYTa2O7,73
NdCuGe2,62
Pr12Ni6Pb,201
La4Mn(Cu3S5)2,1
LiV3O4,9
Nb7S2I19,13
Y(BO2)3,28
LuAgHg2,219
K2Zr2ZnH12(OF2)6,13
Cs3LiBr4,19
Ba3(RhO2)14,1
RbLiCu2H3(SO5)2,7
Tb4CdNi,210
KPWCO7,3
Li6Ti9O20,11
Ce7Pt3,183
Li4Ti3Nb2Cr3O16,7
Li4Cr3FeO8,1
Ni4B3,61
VTe2,162
HfThTc2,219
Ca3(AlGe)2,70
EuCuP,191
Mn4CuO8,11
K2CdH4(SeO5)2,1
Li2Sn(BO3)2,3
Tb2Cu(BO2)8,13
YMg,215
Li8(CoO2)5,1
TbMgIn,186
CaAl12O19,191
K2P2PdS6,61
Eu(CuSb)2,127
LiCrPO5,61
Na30Mg4Ta20Si33(SO48)3,0
Na6CaTi7Si6(SO8)6,0
MgMn2O4,7
Li7Mn2(CoO4)3,11
CsTm(NbBr3)6,161
ZnH8C2I2(N2O)2,13
MgSbF5,13
RbSmGeSe4,0
Li7Mn5O12,1
TmAs,219
TaSb3O8,6
Sm5(Sn5Rh2)2,125
SrSmCoO4,105
CaMg3,137
CsTb(NbBr3)6,161
CeMgAu,186
HoU2S3O2,137
LiFeP,62
Pr5Mo3O16,216
Mn3NbO8,8
NaLi3Ti2Fe2(PO4)6,144
CdTe,210
Ba3Ta2MnO9,162
La2Co7,164
K2MgH4,137
V3NiP2,5
Cs2NaYbCl6,219
Sc11Nb3O24,0
Li12MnCo3P4(CO7)4,5
InAg3,184
Ti3Au,217
La3Ce4O12,11
VNi5(PO4)6,144
UF6,61
Sr2LiTaN3F,60
Na9Mg11Nb(SO4)18,0
LiGaSi,210
Na7Cr3Co(PO4)6,0
Ce2In2PdRh,5
Y2AlCd,219
DyAlCo,37
Li10Zn4O9,135
Na30Nb4Zn20Si9(S3O16)9,0
Ho6Al43Cr4,190
Ca3MgNi14,158
Li(MnS2)2,73
NdCoSi3,105
Cs3Zr7MnCl20,165
Sr5Ti7O19,46
DyMgCd2,219
Ba3NiIrRuO9,162
Ho2(Ga3Co)3,62
Eu2V2O5,45
Li8MnFe7(BO3)8,0
TbMoC2,61
Li3VSiO5,32
Mg6MnO8,219
Ba3SrAg4,5
LiO8,11
Zr3(VNi2)2,1
Tl3AgTe2,13
Cd(AgO2)2,69
La3(ZnPt)4,70
MgCN2,164
Ce4SnO10,164
Hg,139
LaSiBO5,150
MnF4,165
Ho3Zr,137
ThCrS3,61
Co2(GeS)3,146
Sr2CoSbO6,219
Y9Al(GeS7)3,144
K3Ta2Ag3S8,14
CdTe,183
MnP4,1
CuP7I,13
Sr4Ca(FeO3)5,82
LiP2WO8,3
Th2Br5,223
KNa(WO3)4,121
Zr5CuSb3,190
La2Mn3Sb3O14,11
KY2F7,11
Li12Ni11O28,0
Li2Fe3SbO8,164
Cs3PrCl6,219
Fe3(OF2)2,11
LiTi(SiO3)2,1
YGaNi,61
Na2CoP2O7,32
NaLa3NbP3(SO8)3,0
TaSi2,177
PrSi,61
LiVSiO4,170
Mn4ZnS8,164
Na2Zn3GeAs4,7
Li8V11O22,1
KMnP,127
SrLa2(CoO3)3,162
BaGd2PdO5,125
YSi3Ni5,61
MnGaRh2,219
Ta2Co,138
Co(HO)2,11
Er4InRh,210
SbRuSe,13
Nd2Zr3(MoO4)9,165
Li4MnO2F3,7
TiV5(PO4)6,144
Na3Li6Mn5O9,0
Mg2Nb2CuO8,14
HgH10C3I3N,13
Sr2Ti2O5,43
SrCaI4,13
Zn(CuO2)2,154
LiGe2(PO4)3,165
Li32Ti3Cr13O48,0
Li7V3P8O29,0
Te3WO12,2
Rb5Tm3Br12,186
Na10Fe4O9,7
TaCr2,221
Pr25Ni49P33,184
Cs3GaO3,11
CePO4,139
CeCuPb,183
CsRb2VF6,219
PmMgHg2,219
KNbCl6,210
Tm2CuAu,219
Eu2B4O9,14
Li3NiPCO7,13
Sr3Be2B5HO13,7
Na8HfZn3(PO4)6,141
UGePt,43
BN,183
Fe3P4O15,32
V17Ge31,116
MgFe4(PO4)4,5
Th2TeN2,137
Ti5Sn3Au,190
Li4VF8,2
Sr5La3Mn4(WO6)4,0
LiMn2(BO3)2,0
Ho2GaRu,121
PWO5,14
Li6Cr3Cu(PO4)6,0
LiWF6,13
Li2CoP2O7,0
Li2Cu3(P2O7)2,1
PrSe2,127
LiAg2F4,221
Na21Ca8Ta4Si3(P5O24)3,0
Tb6Al43Cr4,190
CaMnAs2(H3O5)2,1
Na5La(WO4)4,87
LiVP2O7,13
NaCa2Mg5AlSi7(O11F)2,0
Ba2ScCl7,3
LiRhO2,164
Pr(PPt)2,137
YBiRu2O7,73
K3Na8FeH12S6(NO18)2,146
LuTa7O19,185
NaV2O4,61
Sm2Fe14B,134
Ho2TiO5,62
LiFeBO3,13
NaZn2H3(SO4)2,1
Ho4HfAl15,121
GaCuSeS,23
LiMn4(PO4)3,14
TeH20C6(NCl3)2,202
SiRh,195
TaIr3,215
PmDyHg2,219
Ba2CeHfO6,219
Na14Si11Sn8SO48,0
BaSrI4,32
KAlBP2O9,13
La3NbSiS5O24,0
CaTiGeO5,14
NdLuTl2,219
Ti3MnNi2(PO4)6,144
KLa(SeO4)2,13
Li2Mn3WO8,183
AlH3,165
LiFeP3H8O13,1
KAu(SO4)2,14
Li3Mn2Fe(BO3)3,5
KGdTe4,123
Cr3CuO8,11
Na9Ta4Zn8P9(SO8)9,0
GdC2,137
Zr3Ti2(PbO3)5,7
Ba(H8O5)2,12
Tm2CuPt,219
MgSn3,184
Na7CaSi3Sn3(PO8)3,0
SiNi3Mo2,37
CoSb(PO4)2,1
Ca2AlFeO5,45
Li6OsN4,135
BaSrNdNbO6,210
P4Os,1
Y3CuGeSe7,170
PuB12,219
IrBr3,11
Pb2IOF,66
ZnCu(SiO3)2,14
Ca2SiS4,61
Hg2TeO3,27
La2B8O15,12
Li18Fe5N12,12
HfSiOs,186
EuGe7Rh3,165
HoMg2,221
K2FeH2OF5,14
NaCu3O4,34
NiMoO4,11
YSi2Ru3,188
Rb2Sn2Se5,14
LiNi2P3O10,14
Lu3Ga8Cu3,70
Sr15Fe10(Bi5O23)2,20
NaCu3O2,71
YbYCd2,219
ErCo5,64
Cs2TeO3,148
SrCrHO2,121
MgAl3,137
Li6Ti7Cr5O24,1
K3NpO2F5,139
Na3ZrInSi(PO6)2,8
Er12In3Fe2,137
AgRhF6,146
MnF3,148
Mg14MnNiO16,121
LiMn2(PO5)2,3
NaMnPCO7,7
Li2Fe(CO3)2,13
Ca4GeN4,13
Mg2VP3O11,13
B8H4PbO15,13
ZrSnPd,210
LiMn2F7,13
SrNbNO2,121
BaSrNdSbO6,1
K2MgFe4P6(O4F3)4,0
Al(Ni10B7)2,219
Ca3Mn2O7,62
Sr2La6Cu3IrO16,11
NbSBr,210
ZnFe4NiO8,158
LiYbTl2,219
Li2MnSiO4,150
Na7VN4,202
Ca4GaSn3,24
Rb4MgH12(SeO3)8,2
NaLaTiO4,127
Ti4SnO10,1
LiFe4(PO4)3,8
YbC2,137
NaLi3Ga4(SiO3)8,4
MgCr7(SO4)12,0
NpO2,219
CrCdInS4,73
ScVO3,61
VO2F,1
Mg3Sn,215
Sm10Pd21,1
LiYTl2,219
BaMgP2O7,13
TbLuHg2,219
BaGaF5,18
ScSbPt,210
TmAgS2,107
Mg6MnCoO8,121
K3Na2InO4,13
K2NaAlAs2,71
UB2Rh2C,137
Li3Fe(PO4)2,10
Hf2Sc2SiS5O24,0
InGeCl3,159
Sm11In9Ni4,64
Nd2Co3,63
LuTl(WO4)2,14
Li2InSn,219
Sm3Ge5,187
CeZr3Mn8,154
U3(HO5)2,0
TbPrO4,13
Sr2MgWO6,219
CaTi3O7,61
Li3MnV(PO4)3,0
Li8NbNi3(PO4)6,144
Na2CoH8(CO5)2,14
LiCrP2O7,10
Na(FeO2)2,73
CeTiNbO6,32
Fe4(PO4)3,8
Na4Nb3GaSi4(PO12)2,0
Sr2CaUO6,13
Li2Mg,153
NaCa2V3(CuO6)2,140
Mg30AlNiO32,121
Li2Fe(Si2O5)2,10
Ho5SbPt2,138
La2Te3MoO12,61
La3Ti2N3O4,70
PmAs3,137
TmAsSe,127
TmAsO4,139
Ce3Sn13Ir4,217
Li4MnFe3(BO3)4,0
Pr(FeGe)2,137
PmAlAg2,219
LiH6NO6,62
Sr2FeRuO6,219
Sm3Mg,137
VGaFeCo,210
Dy4Ge6Ir7,223
Hf2SnC,191
OsC4(ClO2)2,14
Pr25(B7C13)2,13
TiSnPd,210
Nd3PbN,215
Ca2TbMn3O9,61
Li4Sn2P4H3O16,0
NaPb,140
Ge4Rh,150
FeOF,3
TaP2O7,202
Li9Mn2Co5O16,1
Rb3(Cu4S3)2,11
Ba6Ca15Cu18Hg3O43,11
TbNiAs,184
Na2Cu3H8(SeO4)4,13
LiFeB2O5,14
ZrCl,164
VSiGe,151
U2Fe3Si5,14
CaScAlSiO6,13
KMgNiIO6,147
Fe2Te4H3ClO12,1
Ho2Mn17C3,191
LiMnF3,13
Tl3Pb,191
SmCO4,171
AuCl3,13
Rb3B(SeO4)3,72
K2MgFe4P6(O4F3)4,0
Ce8SnPd24,215
Li7FeO5F,0
Li3V3P8O29,0
Li4Mn3CoO8,1
Sr6Ca2Fe3Co5O24,2
CsNb(CuTe2)2,32
AlIn(CuSe2)2,81
Ba2YI7,61
Na5Ta2Si5Sn2PO24,0
Ce2Ni3Ge5,71
NaLi3Ti2Al2(PO4)6,0
Li5NiO3F,11
Y2Mn5Co12,164
TcRh3,191
Er2ZnS4,61
LiVFeP2(O4F)2,0
ZrTaTc2,219
Na2SnBAsO7,10
TmIO,127
Dy3Si3O10F,13
LiFe5O8,0
MgFeF6,146
Dy2NiIr,219
Li2MnFeO4,117
Li3Mn4(BO3)4,1
Er4Co3,145
BaSnO3,215
BaYCl5,14
K49Tl108,197
Na2CrO4,62
Tb3GaCo3,62
Li4CrFe2Ni3(PO4)6,0
Sr2YCrCu2O7,7
Ba2Co2O5,7
YbGd(PO4)2,117
EuCl2,134
KCu2(SO5)2,11
BaBSbS4,61
P3W2O13,13
Zr2NiAs2,191
Cs2NaInI6,219
InSbSe3,61
CoO,219
GaSi3C3N,5
Li12Cu11As12,154
VO2,11
AcCuO3,215
LiVP2HO8,0
AlTeH6C2Br3,56
LiF,183
H8C3N2O,42
FeNiSe4,13
Ba6Li2Ti16O39,11
LiP2WO7,13
Fe6Ge2N,121
CePmZn2,219
Li2V(CO3)3,39
Na3Hg2,134
Sr2CeSnO6,198
Na3AlP2H2O9,11
CrCuO4,13
Na2AlCoF7,14
Li3Ti3VO8,11
Fe6Bi(P3O13)2,5
U(PO3)4,14
Na5Ca2Ce3Ti8Nb2O30,97
Li3MnV(PO4)3,1
NaMg30GaO32,121
YErHg2,219
ZrPd,215
LaCO3F,186
Na6Sn2O7,14
Fe4O3F5,62
Ti2AlMo,219
LaCoN3,11
BaNaCe2C4O12F,191
Li10Mn3V5O16,0
Ca2MnWO6,13
Li9Mn2Co5O16,0
Sm3(Ge3Pd10)2,219
MnAlNi6,121
UBr4(NO2)2,1
Na2Ni3O5,1
Zn7GeN6,59
Cs3SbO4,61
Na6TiZn7(SO4)12,0
MgNi,164
Sr8(MnN3)3,13
GaTe4(MoSe)4,210
Cu(Mo3Se4)2,146
Ca3(SiIr)4,211
MgCr2(PO4)2,14
MgMn2O4,7
RbVCuF6,61
Li2BPd3,206
Li4V3P8O29,0
La(SiPt)2,127
TlCuO2,10
Na5Ga3Ge(PO4)6,0
LiFe2(BO3)2,0
MoPCl9,1
Na4AgCl5,70
TbCu4Ag,210
Rb4FeO4,1
YbRh3C,215
Li2PtO2,70
Tb4MgIr,210
ZrSe2,162
Te6RhI3,165
SrGe3,137
Sr2TbGaCu2O7,45
Mn6O11F,37
Cd(HO)2,162
V6H2Pb4Se3O26,3
Dy2Al17,191
Sr2Ti5Al17O38,14
LiMn(PO3)3,56
Li6CuS4,135
Rb4PbO4,13
Hf2Sc3Si4,91
CsCu5S3,50
MoWSe3S,154
Na4(Fe2O3)5,1
Li7V3(SiO6)2,11
Ba4LiTa3O12,183
Mn2F5,14
BaSrI4,13
HXe2F15,32
HfCoAs,61
K6Pd3(BrCl2)4,37
Ba3Cr2MoO9,191
Dy5Ni2Sb,138
HfCrCuS4,10
Y(Ni2B)6,164
CsAlF4,61
YMg6Zr,64
Ni(BO2)2,14
Li4V3P8O29,0
HfI4,202
CoSiMo,37
Ba(GeAs)2,103
KB5(H2O3)4,40
CsAlNiF6,73
YMg30MnO32,121
Li2VPO6,32
Sr2FeCu(PbO3)2,29
K3Ti3(PO4)5,28
BaGd2CuO5,61
Sr2Ti2O5,64
Li2CoP2O7,3
Fe2OF3,37
NaSrPO4,61
Dy3Sb4Au3,214
Co3SbO8,8
LiMg2Ag,219
Rb3TlF6,137
Al4Ni15,121
Na3AlZnP2SO12,8
Na3Mn2P2(CO7)2,3
NaCrF4,13
LiMnF4,32
Ho3In,191
Ba2Nd2Co4O11,24
CaVFe(P2O7)2,0
Pu2HgSb,219
Ca2InHg,219
CdRe2H8C2S2(NO2)4,13
SmDyTl2,219
TaTi3,215
Na(Sm2Se3)4,120
Li2MnSi3O8,0
CaMg14ZnO16,121
Rb2MnCuF6,219
NaLiMg14,184
Li4CrFe3O8,11
Na3La2Sc2P3(SO8)3,0
CaSnP2O7,1
TlTcO3,215
BaCe2O4,61
CoRe2(H2O3)4,1
Li2MnV4FeO12,4
La3MoO7,61
La4Fe(NiO4)3,1
LiTmSn,183
Ca2MnGaO5,45
KEuAsS4,10
Zr6CoTe2,186
Na4Zn3S5,61
Hf5(In2Rh)2,54
La(Al2Fe)4,137
LiEr(PO3)4,14
LiCrSiO4,61
PuTe,219
Na2Ta2Al6Si3(S3O16)3,0
LiH2N,8
Er2MgSe4,28
K2WSe4,61
Li2MnFe(BO3)2,5
KV2PO8,1
Sr3(GaIr)4,211
Ca2Cu(ClO)2,137
LiNiP2O7,6
Rb8Th(MoO4)6,14
Sr4Ca4FeCo7O24,7
NbF5,11
Li2CrSiO4,28
Li4Mn2P4H3O16,0
RbGaCl4,61
TlV2I3O13,45
CsAgBr3,37
Li4AlCr3O8,11
Mg30NbCoO32,121
Mn3Te2Se,70
La2(Ga3Ru)3,62
Rb2Ge2S5,14
Zr3(MnNi2)2,1
Yb3Ge5,186
Li7Fe3Sb(PO4)6,144
YB3H15N,35
Ba3LaIrRuO9,183
LiCuF3,37
La(NiSn)2,137
K2LiCoF6,219
U2InPt2,134
LiFeP3H8O13,1
Li3RhN2,203
Tc,191
Mg5H10(C2O9)2,13
SmAgAs2,61
Pd34Se11,13
Li7OsN4,202
RbY(TeO3)2,61
Ba2Si3GeO10,3
SiO2,177
PmErTl2,219
Li3Cr(NiO3)2,11
HoCdHg2,219
Zn3Pt,137
Cr4In2(CuSe4)3,11
Mn3H6(SO6)2,56
Mg14ZnSi,184
PrTa3O9,10
EuSi3Rh,105
Ba6Ge25,207
GaAgS2,8
EuMg2Cu9,191
Li2NiP2O7,14
TiMn4O10,11
Rb2CoS2,71
Li3TiMn2O6,1
Na2Nb2Al6Si3(S3O16)3,0
KDyS2,164
SrLaMnO4,105
Hg6P4PbCl6,195
CsSrCl3,7
La2NiRhO6,13
Er17(TeRu2)3,11
Ba2LaV3O11,13
TiS2,162
PrYSi2O7,13
Li10Mn23O48,7
Li24Mn7Cr5O36,0
V4GaS8,210
PuSn2,139
Tb3Ga15Ru4,61
UCoNiGe2,127
CaAlSi,191
Lu5BiPd2,138
LiMnPO4,144
BaH2C2O5,11
Sm2Ga2(Fe5C)3,164
Li3TiV3O8,164
KVBP2HO9,1
ScNi2,221
SrAu5,188
SmSBr,13
MnAl(WO4)2,6
Na2CuBSO7,10
UZnNi4,210
Ni7(Mo3P2)3,1
Li2NiGe3O8,206
RbBa2I5,13
LiCo2(PO3)5,6
Li4V3O8,1
H24PdC8(NCl2)2,134
Se,13
Na15Ta11Zn(SiO4)18,0
NaReN2,60
Zn3(PO4)2,13
Ba2Ca7I18,1
LiMnP3HO10,14
Mg2IrPd,219
CsTi2P3(O5F2)2,12
Rb2AgAu3I8,14
AlH6ClO4,14
Tl2NiF4,137
TaCoTe2,13
PrTlSe2,164
Ba2CdTe3,61
Mg5As4(H11O13)2,1
Li4Mn2V5O12,3
Li4Co3O7,1
V2O3F,37
Ca2CdIn,219
Ce3(Sn3Pd2)2,61
Li2InFe(P2O7)2,0
Gd3NbO7,19
MnCr3(PO4)4,5
AgHg2PO4,54
Li4Mn2Ni3Sb3O16,7
Li4FeO3,8
RbTaTiO5,61
Li3FeN2,71
Nd3Ge5,42
PrMn7O12,11
Na(Cu2Sb)2,164
Ti2Cr(PO4)3,165
LiMn8O16,58
Cu2S,13
BaYF5,3
Mg7Si4(HO8)2,50
U2Zn17,164
CrAgSe2,158
Fe5(OF4)2,0
LiCu(PO3)4,8
BH3NF3,60
Li3Ni8(OF3)4,11
K3NaCr2O8,14
NbI5,1
CsLi4(BO2)5,13
ScOs2,191
HfGa2Ni,105
GdP5,10
Na2Nb6In2Si7S5O48,0
Sn(CO2)2,14
Tl2TeI6,13
Li3Mn8O16,113
LaTlZn,191
BaVZnF7,13
Ta4Zn2P6(SO12)3,156
CuBr,191
Na4(NiO2)5,1
Y3Mg2MnS8,164
MgMn4O8,6
NaPr2Se3,70
SrNb8O14,54
Fe2As2H2PbO10,11
Cs2Cd3(B4O7)4,14
CsSbWO6,45
KGaSb2,63
KLaPrSbO6,47
Li4Cu(PO4)2,1
Na2Li2Al3Si3ClO12,80
NaNbO3,28
Na3UO4,64
Ti3Mn5O16,7
MnFe(PO4)2,25
Na2Ti3ZnP4(SO12)2,0
MgZn2Rh,219
LiHf2Tc,219
MgNb4VO12,0
Ca2Dy3Sb3O14,14
LiAgF4,9
Eu2Ge3Au,184
TlAuO2,191
Li7Mn4CoO12,0
FeCu4BiPbS6,25
Ba13Ca2Re9(ClO15)3,141
Ba2V2O5,66
Mg6GaSn,37
Er2Fe17C,11
Sm4MgIr,210
MgV2CdO6,7
HfP2O7,13
BaSrSmWO6,47
CaFeF4,138
DyGa3,164
HoMgCd2,219
Ca2Mg(CO3)3,1
MgSc2Ir,219
Li2CrO2,11
NbAgO3,56
Sr2CaCu2Bi2IO8,52
TiP2PbO8,14
PrAlO3,165
BaSrGdSbO6,15
KMg2B12H19O30,14
Co(PO3)4,14
MnInCu2,219
LaNiSnH,61
V4(OF3)3,0
LiMn(PO3)4,59
Ba8Mn8O23,37
YbSc(BO3)2,146
Eu(POs)2,137
Li4V3P8O29,14
Sm11Cd45,210
TePb2O5,8
Li2Fe2P4H3O16,0
Cs2PrCl5,61
AgSe3I,52
Li2AlVO4,13
Zr2SeN2,191
HoSnAu,210
Na6Ca8Nb4Si3(S5O24)3,0
Sr2CrSbO6,86
TlPF6,202
Sr6Cu3N5,103
ThAu2,188
MoS2,191
NaH2C2N3O,187
Na5Mn7O15,0
Li5Mn6(BO3)6,0
KGaTe2,14
U8CrSe17,11
MnZnN2,32
Ag3Hg,191
MgV(CO3)2,146
Y(PRu)2,137
Na2MgSiO4,6
Ta5CrNiS10,154
KMnVO4,13
Na3CoBAsO7,1
VF5,13
Mn2V3NiO8,11
Ac3Dy,137
HfMnIr2,219
HoGaPd,61
Sr5Fe4MoO15,7
Cs2OsBrClF4,105
Ba3SrLu2(BiO6)2,113
SrLa2(CoO3)3,14
LiSbP(OF3)2,0
AlF3,64
EuMg3SiN4,87
BaYBr5,13
Ba2LaC3O9F,10
Ho2WO6,12
Sc2TlZn,219
Li6V3P8O29,0
Cs3ErCl6,219
Pr2HfS5,61
CrHg6As4Br7,202
Dy5B3O13,173
K4Nb8Si(P2O17)2,113
RbSc3F10,50
EuGa3Pd,62
CrHO2,30
Li2P(HO)6,203
Te2Mo3W(SeS2)2,154
Cu3Au,215
NaNb14O36,70
HfMg30MnO32,121
Li5V6O5F19,0
SrTaNO2,5
Ni7(P2O7)4,19
LiMn2(PO4)3,0
As4(Pb3S5)3,158
Li9Mn2Co5O16,0
Hf5Ge3,190
PmBi3,137
ThTeO,127
CuNi2Sn,219
Li2MnP2O7,43
Mg2Nb2SiS5O24,0
Ag2S,18
FeNiB,68
TmTaTiO6,13
V2As3H17C4N8O17,1
LiFe(Si2O5)2,29
Rb2NbCuS4,0
Ta3Ir,219
BaSrTbSbO6,1
Li4MnFe3(BO3)4,0
Ba2I2O,71
Li2Fe(PO4)2,60
Rb6Ta4S25,14
Na6CaTi3Si2(PO6)4,0
PmEuPt2,219
Ce2Ge3Rh,24
FeB,139
In2PO5,1
CrCuO4,62
NaHfMg30O31,97
BaCo2Si2O7,14
MoPt3,24
Na5Fe2P2(CO7)2,5
Na4HfMg3P2(SO6)4,0
TlSb3(AsS4)2,32
Ba2ZnFe2F14,6
VNiH14(O2F)4,1
Al2CdSe4,81
Sr3Li2,134
Ba6La2Ga4O15,8
Na11TiNb2Si4P2O25F,0
RhI3,11
LiGePCO7,3
GaFeO3,0
Na2SnF6,134
Eu6Mg7H26,11
LiFeSiO4,3
Ce2Ga12Cu,123
TbNdFe14B,134
TaP2Se2Cl5,13
Na5Ca2Hf2P5SO24,0
LuSiAu,184
KLi6BiO6,164
Li2FeBO4,61
SrEu4O5,86
Mg16Al12Pb,211
Na3ZnSn(PO4)3,8
Nd2Si3Rh,188
RbAlSi3O8,1
Ta2Cl5,224
Cr3(CuO6)2,13
Y(CoGe)2,137
Ba3B3Pb2BrO9,19
Ba4PrMn3O12,164
VCr(P2O7)2,0
Sr2Sn(HO)8,13
CrSi2,178
Cs2ReCl6,219
Mg30CuSnO32,121
Re2BiO6,14
La3Sb5O12,211
Si2H2O5,4
Pm3Al,215
Sr2Zr7O16,146
Na3P6(PbO9)2,1
LaGd3,191
Rb2AlCuF6,219
RbNbCl6,14
Li2VCrO4,1
Nb6(Pb2O5)5,5
Er(AlCu)6,70
BaBi12Mo5O34,12
CaEuMg2,219
Ba3LaBr9,6
Na3Eu2(SiTe3)2,11
Ho6Nb4Al43,190
ThPt3,191
CoBH18N6(ClF2)2,13
Ni3B7BrO13,28
Li15(FeO6)2,0
TlIn5S7,10
